x	zg centrada sin panza
0.745762273	-2.931991998
0.746801663	-3.231994143
0.747841053	-3.199003275
0.748880443	-3.24809836
0.749919833	-2.823815052
0.750959222	-2.881135123
0.751998612	-2.977600064
0.753038002	-3.014906002
0.754077392	-2.913811215
0.755116782	-3.039196246
0.756156172	-3.11871861
0.757195562	-3.343502421
0.758234952	-3.062911888
0.759274342	-2.920285231
0.760313732	-2.680228763
0.761353122	-2.554179525
0.762392512	-2.667188609
0.763431902	-2.717666953
0.764471292	-2.867009786
0.765510681	-2.767576564
0.766550071	-2.674972334
0.767589461	-2.607490306
0.768628851	-2.781633891
0.769668241	-2.486428872
0.770707631	-2.616511783
0.771747021	-2.461510296
0.772786411	-2.590412537
0.773825801	-2.55830179
0.774865191	-2.492703559
0.775904581	-2.531576025
0.776943971	-2.160425562
0.777983361	-2.25109616
0.779022751	-2.150240863
0.78006214	-2.553381172
0.78110153	-2.615092733
0.78214092	-2.097053304
0.78318031	-2.096049979
0.7842197	-2.159597455
0.78525909	-2.297757201
0.78629848	-2.424919521
0.78733787	-2.269068147
0.78837726	-2.039864207
0.78941665	-1.877030255
0.79045604	-2.090247015
0.79149543	-2.083721367
0.79253482	-2.093732693
0.79357421	-2.114579591
0.794613599	-2.158482795
0.795652989	-2.182272255
0.796692379	-2.093506738
0.797731769	-2.190096146
0.798771159	-1.974406276
0.799810549	-1.814827681
0.800849939	-1.658683995
0.801889329	-1.595809689
0.802928719	-1.639776816
0.803968109	-1.792408714
0.805007499	-1.726693948
0.806046889	-1.755351589
0.807086279	-1.442222846
