# X 	Z
1.136132812500000033e-01	3.901371516008442786e+00
1.146953124999999934e-01	3.943241910165784958e+00
1.157773437499999974e-01	3.984296924296990561e+00
1.168593750000000014e-01	4.024521235936620478e+00
1.179414062500000054e-01	4.063899848687657190e+00
1.190234374999999956e-01	4.102418101410039597e+00
1.201054687499999996e-01	4.140061677213545011e+00
1.211875000000000036e-01	4.176816612248877902e+00
1.222695312499999937e-01	4.212669304291106975e+00
1.233515624999999977e-01	4.247606521109878130e+00
1.244335937500000017e-01	4.281615408621110674e+00
1.255156249999999918e-01	4.314683498815151452e+00
1.265976562499999958e-01	4.346798717456628047e+00
1.276796874999999998e-01	4.377949391551491765e+00
1.287617187500000038e-01	4.408124256576982702e+00
1.298437500000000078e-01	4.437312463470504120e+00
1.309257812500000118e-01	4.465503585373611806e+00
1.320078124999999880e-01	4.492687624127554180e+00
1.330898437499999920e-01	4.518855016517007606e+00
1.341718749999999960e-01	4.543996640258868069e+00
1.352539062500000000e-01	4.568103819733154936e+00
1.363359375000000040e-01	4.591168331453286733e+00
1.374179687500000080e-01	4.613182409273162143e+00
1.385000000000000120e-01	4.634138749328680973e+00
1.395820312499999882e-01	4.654030514711511302e+00
1.406640624999999922e-01	4.672851339873102638e+00
1.417460937499999962e-01	4.690595334757090562e+00
1.428281250000000002e-01	4.707257088658445277e+00
1.439101562500000042e-01	4.722831673807903030e+00
1.449921875000000082e-01	4.737314648680378326e+00
1.460742187500000122e-01	4.750702061026264467e+00
1.471562499999999885e-01	4.762990450624693395e+00
1.482382812499999925e-01	4.774176851758006102e+00
1.493203124999999964e-01	4.784258795406854503e+00
1.504023437500000004e-01	4.793234311165532446e+00
1.514843750000000044e-01	4.801101928877294256e+00
1.525664062500000084e-01	4.807860679989594210e+00
1.536484375000000124e-01	4.813510098629329548e+00
1.547304687499999887e-01	4.818050222398358784e+00
1.558124999999999927e-01	4.821481592889694134e+00
1.568945312499999967e-01	4.823805255924956903e+00
1.579765625000000007e-01	4.825022761513830361e+00
1.590585937500000047e-01	4.825136163536390299e+00
1.601406250000000087e-01	4.824148019149329336e+00
1.612226562500000127e-01	4.822061387917234043e+00
1.623046874999999889e-01	4.818879830670180553e+00
1.633867187499999929e-01	4.814607408089070617e+00
1.644687499999999969e-01	4.809248679020248218e+00
1.655507812500000009e-01	4.802808698521055852e+00
1.666328125000000049e-01	4.795293015638146805e+00
1.677148437500000089e-01	4.786707670920477220e+00
1.687968750000000129e-01	4.777059193669044745e+00
1.698789062499999891e-01	4.766354598925574670e+00
1.709609374999999931e-01	4.754601384202481462e+00
1.720429687499999971e-01	4.741807525956552638e+00
1.731250000000000011e-01	4.727981475808937795e+00
1.742070312500000051e-01	4.713132156514149074e+00
1.752890625000000091e-01	4.697268957680911683e+00
1.763710937500000131e-01	4.680401731247822994e+00
1.774531249999999893e-01	4.662540786716904861e+00
1.785351562499999933e-01	4.643696886148259928e+00
1.796171874999999973e-01	4.623881238919150150e+00
1.806992187500000013e-01	4.603105496250922357e+00
1.817812500000000053e-01	4.581381745507284720e+00
1.828632812500000093e-01	4.558722504267508135e+00
1.839453125000000133e-01	4.535140714178157673e+00
1.850273437499999896e-01	4.510649734587051540e+00
1.861093749999999936e-01	4.485263335963169951e+00
1.871914062499999976e-01	4.458995693106325930e+00
1.882734375000000016e-01	4.431861378150449227e+00
1.893554687500000056e-01	4.403875353364406386e+00
1.904375000000000095e-01	4.375052963754344049e+00
1.915195312500000135e-01	4.345409929471594879e+00
1.926015624999999898e-01	4.314962338030212230e+00
1.936835937499999938e-01	4.283726636338230698e+00
1.947656249999999978e-01	4.251719622546753286e+00
1.958476562500000018e-01	4.218958437720973897e+00
1.969296875000000058e-01	4.185460557337276732e+00
1.980117187500000098e-01	4.151243782610575472e+00
1.990937500000000138e-01	4.116326231656074697e+00
2.001757812499999900e-01	4.080726330489689246e+00
2.012578124999999940e-01	4.044462803871377687e+00
2.023398437499999980e-01	4.007554665995718857e+00
2.034218750000000020e-01	3.970021211034110653e+00
2.045039062500000060e-01	3.931882003533013314e+00
2.055859375000000100e-01	3.893156868672738469e+00
2.066679687499999862e-01	3.853865882391364739e+00
2.077499999999999902e-01	3.814029361378410865e+00
2.088320312499999942e-01	3.773667852942995893e+00
2.099140624999999982e-01	3.732802124761280371e+00
2.109960937500000022e-01	3.691453154508045564e+00
2.120781250000000062e-01	3.649642119377346283e+00
2.131601562500000102e-01	3.607390385497257768e+00
2.142421874999999865e-01	3.564719497243788116e+00
2.153242187499999905e-01	3.521651166459084159e+00
2.164062499999999944e-01	3.478207261579103093e+00
2.174882812499999984e-01	3.434409796675966575e+00
2.185703125000000024e-01	3.390280920420291721e+00
2.196523437500000064e-01	3.345842904968840070e+00
2.207343750000000104e-01	3.301118134782927704e+00
2.218164062499999867e-01	3.256129095383125005e+00
2.228984374999999907e-01	3.210898362045877530e+00
2.239804687499999947e-01	3.165448588447802969e+00
2.250624999999999987e-01	3.119802495263516828e+00
2.261445312500000027e-01	3.073982858722940747e+00
2.272265625000000067e-01	3.028012499134147717e+00
2.283085937500000107e-01	2.981914269377894389e+00
2.293906249999999869e-01	2.935711043380087482e+00
2.304726562499999909e-01	2.889425704568501008e+00
