# X 	Z
2.158652343749999925e-01	-3.137617619868420693e+00
2.174882812499999984e-01	-3.267267119835143507e+00
2.191113281250000044e-01	-3.388333682711589301e+00
2.207343750000000104e-01	-3.500841400996700603e+00
2.223574218749999887e-01	-3.604828752023764071e+00
2.239804687499999947e-01	-3.700348104265285709e+00
2.256035156250000007e-01	-3.787465216436603388e+00
2.272265625000000067e-01	-3.866258730402644783e+00
2.288496093750000127e-01	-3.936819658874574746e+00
2.304726562499999909e-01	-3.999250868864203667e+00
2.320957031249999969e-01	-4.053666561844031513e+00
2.337187500000000029e-01	-4.100191751539676410e+00
2.353417968750000089e-01	-4.138961740259210487e+00
2.369648437499999871e-01	-4.170121594640554541e+00
2.385878906249999931e-01	-4.193825621673657800e+00
2.402109374999999991e-01	-4.210236845828668528e+00
2.418339843750000051e-01	-4.219526488094718530e+00
2.434570312500000111e-01	-4.221873447706348870e+00
2.450800781249999893e-01	-4.217463787306099832e+00
2.467031249999999953e-01	-4.206490222262434742e+00
2.483261718750000013e-01	-4.189151614832061554e+00
2.499492187500000073e-01	-4.165652473825050883e+00
2.515722656250000133e-01	-4.136202460400016712e+00
2.531953124999999916e-01	-4.101015900585202267e+00
2.548183593750000253e-01	-4.060311305089777001e+00
2.564414062500000036e-01	-4.014310896938168227e+00
2.580644531249999818e-01	-3.963240147428918281e+00
2.596875000000000155e-01	-3.907327320888644984e+00
2.613105468749999938e-01	-3.846803028661163637e+00
2.629335937500000275e-01	-3.781899792741942878e+00
2.645566406250000058e-01	-3.712851619438827910e+00
2.661796874999999840e-01	-3.639893583411443867e+00
2.678027343750000178e-01	-3.563261422413957380e+00
2.694257812499999960e-01	-3.483191143038886661e+00
2.710488281249999742e-01	-3.399918637733466031e+00
2.726718750000000080e-01	-3.313679313334612075e+00
2.742949218749999862e-01	-3.224707731343802841e+00
2.759179687500000200e-01	-3.133237260139116298e+00
2.775410156249999982e-01	-3.039499739298208159e+00
2.791640624999999765e-01	-2.943725156183134573e+00
2.807871093750000102e-01	-2.846141334915552434e+00
2.824101562499999885e-01	-2.746973637848948879e+00
2.840332031250000222e-01	-2.646444679623091378e+00
2.856562500000000004e-01	-2.544774053864859553e+00
2.872792968749999787e-01	-2.442178072578979897e+00
2.889023437500000124e-01	-2.338869518251925683e+00
2.905253906249999907e-01	-2.235057408672366464e+00
2.921484375000000244e-01	-2.130946774452060044e+00
2.937714843750000027e-01	-2.026738449211981763e+00
2.953945312499999809e-01	-1.922628872379818388e+00
2.970175781250000147e-01	-1.818809904526692112e+00
2.986406249999999929e-01	-1.715468655153212119e+00
3.002636718750000266e-01	-1.612787322817662572e+00
3.018867187500000049e-01	-1.510943047482376400e+00
3.035097656249999831e-01	-1.410107774938149872e+00
3.051328125000000169e-01	-1.310448133150970085e+00
3.067558593749999951e-01	-1.212125320360374348e+00
3.083789062499999734e-01	-1.115295004744491170e+00
3.100019531250000071e-01	-1.020107235453252326e+00
3.116249999999999853e-01	-9.267063647984480346e-01
3.132480468750000191e-01	-8.352309813772297309e-01
3.148710937499999973e-01	-7.458138538943849261e-01
3.164941406249999756e-01	-6.585818854381881859e-01
3.181171875000000093e-01	-5.736560779549083611e-01
3.197402343749999876e-01	-4.911515066580751654e-01
3.213632812500000213e-01	-4.111773041003820572e-01
3.229863281249999996e-01	-3.338366536285923836e-01
3.246093749999999778e-01	-2.592267919349952598e-01
3.262324218750000115e-01	-1.874390204127930615e-01
3.278554687499999898e-01	-1.185587250172634999e-01
3.294785156250000235e-01	-5.266540432959586349e-02
3.311015625000000018e-01	1.016729448407545193e-02
3.327246093749999800e-01	6.987153212974649141e-02
3.343476562500000138e-01	1.263852263733373227e-01
3.359707031249999920e-01	1.796519942765953670e-01
3.375937500000000258e-01	2.296210878007689526e-01
3.392167968750000040e-01	2.762473230994611506e-01
3.408398437499999822e-01	3.194910038232982030e-01
3.424628906250000160e-01	3.593178387597256163e-01
3.440859374999999942e-01	3.956988541313644636e-01
3.457089843749999725e-01	4.286103008758936350e-01
3.473320312500000062e-01	4.580335572293468549e-01
3.489550781249999845e-01	4.839550269329991328e-01
3.505781250000000182e-01	5.063660333816450976e-01
3.522011718749999964e-01	5.252627100280142791e-01
3.538242187499999747e-01	5.406458873543200649e-01
3.554472656250000084e-01	5.525209767174817932e-01
3.570703124999999867e-01	5.608978513694076184e-01
3.586933593750000204e-01	5.657907249478848488e-01
3.603164062499999987e-01	5.672180277271272608e-01
3.619394531249999769e-01	5.652022809099132017e-01
3.635625000000000107e-01	5.597699692355638801e-01
3.651855468749999889e-01	5.509514121698263489e-01
3.668085937500000226e-01	5.387806339341066897e-01
3.684316406250000009e-01	5.232952326225279727e-01
3.700546874999999791e-01	5.045362486460494011e-01
3.716777343750000129e-01	4.825480327334575326e-01
3.733007812499999911e-01	4.573781137095134230e-01
3.749238281250000249e-01	4.290770662609898478e-01
3.765468750000000031e-01	3.976983788918334595e-01
3.781699218749999813e-01	3.632983222593016426e-01
3.797929687500000151e-01	3.259358180737108590e-01
3.814160156249999933e-01	2.856723087354444690e-01
3.830390625000000271e-01	2.425716278741340826e-01
3.846621093750000053e-01	1.966998719464818912e-01
3.862851562499999836e-01	1.481252730410492491e-01
3.879082031250000173e-01	9.691807303050627154e-02
3.895312499999999956e-01	4.315039920431882475e-02
3.911542968749999738e-01	-1.310385849236614039e-02
3.927773437500000075e-01	-7.176916849480334537e-02
3.944003906249999858e-01	-1.327684768175259045e-01
3.960234375000000195e-01	-1.960233243102576517e-01
3.976464843749999978e-01	-2.614539618712998226e-01
3.992695312499999760e-01	-3.289794635248349808e-01
4.008925781250000098e-01	-3.985178372744248021e-01
4.025156249999999880e-01	-4.699861336506622744e-01
